OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,Topic,first_names,last_name,last_init,name_raw,id,fi_ln
A5025170574,https://orcid.org/0000-0001-8602-7068,Jorge Calderón,"['Calderón, Jorge', 'E Calderon', 'Jorge Caldern', 'Jorge Calderón', 'Jorge E. Arias-Calderón', 'Jorge Enrique Arias Calderón', 'Jorge Enrique Calderón']",30,78,3,10,Social Sciences,jorge,calderón,c,jorge calderón,A5025170574,j calderón
A5104191102,,Joshua Chow,['Joshua Chow'],3,0,0,2,Health Sciences,joshua,chow,c,joshua chow,A5104191102,j chow
A5093134116,,Par Ashley Armitage,['Par Ashley Armitage'],1,1,1,1,Social Sciences,par ashley,armitage,a,par ashley armitage,A5093134116,p armitage
A5088184105,,Cathy Son,['Cathy Son'],5,101,4,3,Social Sciences,cathy,son,s,cathy son,A5088184105,c son
A5055615843,,Keith Hamilton,['Keith Hamilton'],3,1,1,1,Social Sciences,keith,hamilton,h,keith hamilton,A5055615843,k hamilton
A5035254678,,Michael D. Hathaway,"['Hathaway, Michael D.', 'M. D. Hathaway', 'M. HATHAWAY', 'M. Hathaway', 'M.D. Hathaway', 'Michael D. Hathaway', 'Michael Dale Hathaway', 'Michael Hathaway', 'Michael J. Hathaway']",74,1772,22,12,Physical Sciences,michael d.,hathaway,h,michael d. hathaway,A5035254678,m hathaway
A5115067275,,Chaopeng Peng,['Chaopeng Peng'],1,0,0,1,Social Sciences,chaopeng,peng,p,chaopeng peng,A5115067275,c peng
A5107189584,,Allan Zuckermann Cynamon,['Allan Zuckermann Cynamon'],3,1,1,1,Physical Sciences,allan zuckermann,cynamon,c,allan zuckermann cynamon,A5107189584,a cynamon
A5093542508,,Elina Blomley,"['Blomley, Elina', 'Elina Blomley']",3,0,0,1,Life Sciences,elina,blomley,b,elina blomley,A5093542508,e blomley
A5090222248,https://orcid.org/0000-0001-5237-2218,Andrew T. Calvert,"['A. Calvert', 'A. T. Calvert', 'A.T. Calvert', 'ANDREW CALVERT', 'Andrew Calvert', 'Andrew Calvert (6883949)', 'Andrew T. Calvert', 'Andrew T. Calvert (8758257)']",176,6089,35,20,Physical Sciences,andrew t.,calvert,c,andrew t. calvert,A5090222248,a calvert
A5096084559,https://orcid.org/0000-0003-0819-5036,Diego Martinez-Lugo,"['Diego Martinez-Lugo', 'Diego Martinez‐Lugo']",3,5,1,2,Social Sciences,diego,martinez-lugo,m,diego martinez-lugo,A5096084559,d martinez-lugo
A5102235402,,Cary Chi‐Liang Tsai,"['Cary Chi-Liang Tsai', 'Cary Chi-liang Tsai', 'Cary Chi‐Liang Tsai', 'Cary Chi‐liang Tsai']",44,678,15,3,Social Sciences,cary chi‐liang,tsai,t,cary chi‐liang tsai,A5102235402,c tsai
A5012645580,,L Elliot,"['L Elliot', 'Lee-Anne Elliot']",9,226,6,9,Health Sciences,l,elliot,e,l elliot,A5012645580,l elliot
A5083663995,https://orcid.org/0000-0002-1399-0520,Prem Mony,"['Mony, Prem', 'P K Mony', 'P Mony', 'P. Mony', 'PREM MONY', 'Prem K Mony', 'Prem K. Mony', 'Prem Kumar Mony', 'Prem Mony', 'PremK Mony', 'T David']",143,15629,46,16,Social Sciences,prem,mony,m,prem mony,A5083663995,p mony
A5111148189,,Duo Lü,"['Duo Lu', 'Duo Lü', 'Lu, Duo']",54,1352,19,19,Life Sciences,duo,lü,l,duo lü,A5111148189,d lü
A5100405601,https://orcid.org/0000-0003-2107-4765,Hong Xie,"['H. Xie', 'Hong Xie']",26,86,6,13,Life Sciences,hong,xie,x,hong xie,A5100405601,h xie
A5085376161,,M. Yakovlev,"['M. Yakovlev', 'Yakovlev, M.']",10,54,3,1,Physical Sciences,m.,yakovlev,y,m. yakovlev,A5085376161,m yakovlev
A5012716490,https://orcid.org/0009-0004-9710-9121,Soyean Kim,"['Soyean (Julia) Kim', 'Soyean Kim', '김소연']",29,124,6,5,Life Sciences,soyean,kim,k,soyean kim,A5012716490,s kim
A5113817933,,Rong-Xue Mu,"['R. X. Mu', 'Rong-Xue Mu', 'Ruichao Mu', 'Runzhi Mu']",4,7,2,4,Life Sciences,rong-xue,mu,m,rong-xue mu,A5113817933,r mu
A5094130030,https://orcid.org/0009-0005-8674-8152,Hoda Taeb,['Hoda Taeb'],3,1,1,1,Life Sciences,hoda,taeb,t,hoda taeb,A5094130030,h taeb
A5081667728,,Jesse Hahm,['Jesse Hahm'],3,0,0,1,Physical Sciences,jesse,hahm,h,jesse hahm,A5081667728,j hahm
A5061952631,,Erina Cho,['Erina Cho'],3,146,3,2,Social Sciences,erina,cho,c,erina cho,A5061952631,e cho
A5055001297,,Jayson Shurgold,"['Jayson H. Shurgold', 'Jayson Shurgold']",17,459,9,5,Health Sciences,jayson,shurgold,s,jayson shurgold,A5055001297,j shurgold
A5004989555,https://orcid.org/0000-0003-0941-4333,Neil J. Ross,"['Neil J. Ross', 'Ross, N. J.', 'Ross, N.J.', 'Ross, Neil J.']",49,1698,13,6,Physical Sciences,neil j.,ross,r,neil j. ross,A5004989555,n ross
A5028980319,,Gates D. Byron,['Gates D. Byron'],1,0,0,1,Physical Sciences,gates d.,byron,b,gates d. byron,A5028980319,g byron
A5029099898,https://orcid.org/0009-0009-5180-4782,Danica Reid,['Danica Reid'],3,5,1,1,Social Sciences,danica,reid,r,danica reid,A5029099898,d reid
A5018438145,,Ankita Sakhuja,"['Ankita Sakhuja', 'Sakhuja, Ankita']",3,0,0,1,Physical Sciences,ankita,sakhuja,s,ankita sakhuja,A5018438145,a sakhuja
A5014706926,,M. Rajesh Kannan,"['Kannan M', 'Kannan, M. Rajesh', 'M Kannan', 'M. Kannan', 'M. Rajesh Kannan', 'Mithra Kannan']",95,390,8,10,Physical Sciences,m. rajesh,kannan,k,m. rajesh kannan,A5014706926,m kannan
A5025956683,,Conor Hoekstra,['Conor Hoekstra'],6,3,1,2,Physical Sciences,conor,hoekstra,h,conor hoekstra,A5025956683,c hoekstra
A5083084430,https://orcid.org/0000-0002-6871-6633,Wadood Abdul,"['Abdul Wadood', 'Abdul, Wadood M', 'W. Abdul', 'Wadood Abdul']",107,3929,31,7,Physical Sciences,wadood,abdul,a,wadood abdul,A5083084430,w abdul
A5061918895,https://orcid.org/0000-0002-4019-9363,N. Benjamin,"['B Ma', 'Benjamin Ma', 'Benjamin N. Ma', 'M A Benjamin', 'N Benjamin', 'N. Benjamin']",15,331,9,6,Physical Sciences,n.,benjamin,b,n. benjamin,A5061918895,n benjamin
A5051128953,https://orcid.org/0000-0002-7031-5863,Amit G. Deshwar,"['A. Deshwar', 'AMIT G. DESHWAR', 'Amit Deshwar', 'Amit G Deshwar', 'Amit G. Deshwar', 'Deshwar, Amit G.', 'Vikram Deshpande']",98,17169,35,18,Life Sciences,amit g.,deshwar,d,amit g. deshwar,A5051128953,a deshwar
A5067709073,,Joel Heng Hartse,"['Heng Hartse, Joel', 'Joel Hartse', 'Joel Heng Hartse', 'Joel Heng. Hartse']",30,302,5,2,Social Sciences,joel heng,hartse,h,joel heng hartse,A5067709073,j hartse
A5076424458,https://orcid.org/0000-0003-3051-3985,Milton Campos,"['Milton Campos', 'Milton N. Campos', 'Milton Nunes Campos', 'Milton. Campos']",43,184,7,6,Social Sciences,milton,campos,c,milton campos,A5076424458,m campos
A5061615290,https://orcid.org/0000-0001-7096-7290,Melanie Benson Marshall,"['Marshall, Melanie', 'Melanie Benson Marshall']",13,4,1,6,Social Sciences,melanie benson,marshall,m,melanie benson marshall,A5061615290,m marshall
A5056607452,,Milica Videnovic,['Milica Videnovic'],5,9,2,1,Social Sciences,milica,videnovic,v,milica videnovic,A5056607452,m videnovic
A5008305528,https://orcid.org/0000-0003-3090-3334,Jwalin Patel,"['Jwalin Nishith Patel', 'Jwalin Patel', 'Patel, Jwalin']",38,85,5,7,Social Sciences,jwalin,patel,p,jwalin patel,A5008305528,j patel
A5107377267,,Ephrem Belaineh Mekonnen,"['Ephrem B. Mekonnen', 'Ephrem Belaineh Mekonnen']",6,0,0,1,Health Sciences,ephrem belaineh,mekonnen,m,ephrem belaineh mekonnen,A5107377267,e mekonnen
A5017757200,https://orcid.org/0000-0002-4842-9047,Monica T. Ly,"['M Ly', 'Monica Ly', 'Monica T Ly', 'Monica T. Ly']",49,288,8,20,Health Sciences,monica t.,ly,l,monica t. ly,A5017757200,m ly
A5016330282,,Farnak Farzan,['Farnak Farzan'],1,8,1,1,Health Sciences,farnak,farzan,f,farnak farzan,A5016330282,f farzan
A5047773602,,Benyamin Schwarz,"['B SCHWARZ', 'B Schwarz', 'B. Schwarz', 'Benyamin Schwarz']",82,406,11,5,Social Sciences,benyamin,schwarz,s,benyamin schwarz,A5047773602,b schwarz
A5113283180,,JM Goh,['JM Goh'],1,0,0,1,Social Sciences,jm,goh,g,jm goh,A5113283180,j goh
A5080683263,,Ian Chunn,['Ian Chunn'],5,4,1,1,Social Sciences,ian,chunn,c,ian chunn,A5080683263,i chunn
A5029894289,https://orcid.org/0000-0002-9364-933X,Fausto Carnevale Neto,"['F C Neto', 'F Carnevale Neto', 'F. Carnevale Neto', 'F. Carnevale-Neto', 'Fausto Carnevale Neto', 'Fausto Carnevale-Neto', 'Fausto Carnevale\xa0Neto', 'Fausto Neto', 'Neto, Fausto Carnevale']",62,1727,22,11,Life Sciences,fausto carnevale,neto,n,fausto carnevale neto,A5029894289,f neto
A5053771245,https://orcid.org/0000-0003-1724-5947,Chuancong Gao,['Chuancong Gao'],10,134,7,3,Physical Sciences,chuancong,gao,g,chuancong gao,A5053771245,c gao
A5091216307,https://orcid.org/0000-0001-5157-0968,Monika Waldis,"['Monika Waldis', 'Waldis, Monika']",78,373,10,17,Social Sciences,monika,waldis,w,monika waldis,A5091216307,m waldis
A5033635480,https://orcid.org/0000-0002-2118-3278,Qingli Lei,['Qingli Lei'],27,136,7,11,Physical Sciences,qingli,lei,l,qingli lei,A5033635480,q lei
A5029696619,https://orcid.org/0000-0002-9804-0574,C. W. Bingham,"['Bingham, Charles', 'C. W. Bingham', 'CHARLES BINGHAM', 'Charles Bingham', 'Charles W. Bingham']",117,827,12,9,Social Sciences,c. w.,bingham,b,c. w. bingham,A5029696619,c bingham
A5043490606,https://orcid.org/0000-0002-2742-348X,Wahyu Fuadi,"['W Fuadi', 'W. Fuadi', 'Wahyu Fuadi']",56,147,5,2,Physical Sciences,wahyu,fuadi,f,wahyu fuadi,A5043490606,w fuadi
A5106756372,,Preety Nijjar,['Preety Nijjar'],1,0,0,3,Health Sciences,preety,nijjar,n,preety nijjar,A5106756372,p nijjar
A5070975154,,F. Martinez-Mckinney,['F. Martinez-Mckinney'],3,14,3,3,Physical Sciences,f.,martinez-mckinney,m,f. martinez-mckinney,A5070975154,f martinez-mckinney
A5022796523,,Sam Doesburg,['Sam Doesburg'],1,73,1,1,Health Sciences,sam,doesburg,d,sam doesburg,A5022796523,s doesburg
A5050462008,https://orcid.org/0000-0003-2717-6236,John Lowman,"['J D Lowman', 'J Lowman', 'J. Lowman', 'J.D. Lowman', 'JD Lowman', 'JOHN LOWMAN', 'John D Lowman', 'John D. Lowman', 'John Lowman', 'Lowman, J.D.', 'Lowman, John', 'Lowman, John, 1950-']",114,2365,22,10,Health Sciences,john,lowman,l,john lowman,A5050462008,j lowman
A5087730138,,Alex Ciok,"['Alex Ciok', 'Ciok, Alex']",5,7,1,1,Social Sciences,alex,ciok,c,alex ciok,A5087730138,a ciok
A5086131135,,Mark N. Mahadeo,['Mark N. Mahadeo'],1,3,1,1,Health Sciences,mark n.,mahadeo,m,mark n. mahadeo,A5086131135,m mahadeo
A5083922191,,Peter Buk,['Peter Buk'],2,13,1,3,Physical Sciences,peter,buk,b,peter buk,A5083922191,p buk
A5109608250,,Rina Chadha,"['Chadha, R.J.', 'Rina Chadha']",2,13,1,6,Health Sciences,rina,chadha,c,rina chadha,A5109608250,r chadha
A5107501493,https://orcid.org/0000-0003-2883-7016,Vicki L. Marlatt,"['V. Marlatt', 'V.L. Marlatt', 'Vicki L. Marlatt', 'Vicki Lee Marlatt', 'Vicki Marlatt']",26,899,14,7,Life Sciences,vicki l.,marlatt,m,vicki l. marlatt,A5107501493,v marlatt
A5003418262,https://orcid.org/0000-0003-4747-4660,Sümercan Bozkurt Güngen,"['Sumercan Bozkurt Gungen', 'Sümercan Bozkurt Güngen']",2,6,2,1,Social Sciences,sümercan bozkurt,güngen,g,sümercan bozkurt güngen,A5003418262,s güngen
A5050320756,https://orcid.org/0009-0007-3077-8285,Lauren De Souza,['Lauren De Souza'],5,92,3,3,Social Sciences,lauren de,souza,s,lauren de souza,A5050320756,l souza
A5030752031,,Marilyn Gates,"['Gates, Marilyn', 'Gates, Marilyn G.', 'MARILYN GATES', 'Marilyn Gates']",26,254,8,2,Life Sciences,marilyn,gates,g,marilyn gates,A5030752031,m gates
A5033063450,,Nicole Gkaleni,['Nicole Gkaleni'],1,2,1,1,Physical Sciences,nicole,gkaleni,g,nicole gkaleni,A5033063450,n gkaleni
A5005355207,https://orcid.org/0000-0001-5762-1869,Wolfgang Aigner,"['Aigner Wolfgang', 'Aigner, W.', 'Aigner, Wolfgang', 'W. Aigner', 'Wol Aigner', 'Wolfgang Aigner']",197,4383,33,16,Physical Sciences,wolfgang,aigner,a,wolfgang aigner,A5005355207,w aigner
A5112929889,,M. Prentice,"['M G Prentice', 'M. Prentice', 'M.G. Prentice', 'Makaela Prentice']",7,12,2,3,Health Sciences,m.,prentice,p,m. prentice,A5112929889,m prentice
A5115910521,,Behdad Bahrani,['Behdad Bahrani'],1,0,0,1,Health Sciences,behdad,bahrani,b,behdad bahrani,A5115910521,b bahrani
A5027099717,https://orcid.org/0000-0002-0082-3969,Chunxue Wang,['Chunxue Wang'],8,0,0,8,Social Sciences,chunxue,wang,w,chunxue wang,A5027099717,c wang
