,SciVal Title,SciVal DOI,SciVal Citations,OpenAlex Title,OpenAlex DOI,OpenAlex Citations
84,Assessing the internalization pathways of Cr-Fe-Ni nanoparticles in native Dittrichia viscosa naturally exposed to industrial atmospheric fallout,10.1039/d4en00064a,0.0,,,
85,"Changes in drug use behaviors coinciding with the emergence of illicit fentanyl among people who use drugs in Vancouver, Canada",10.1080/00952990.2020.1771721,15.0,,,
86,Reconstruction of the doping profile in Vlasov-Poisson system,10.1088/1361-6420/ad7c78,0.0,,,
87,"Analysis of ternary AlGaX2(X = As, Sb) compounds for optoelectronic and renewable energy devices using density functional theory",10.1088/1402-4896/ac2024,36.0,,,
88,Cross-model retrieval with deep learning for business application,10.1088/1742-6596/1802/3/032035,4.0,,,
89,Pre-production results from ATLAS ITk Strip Sensors Quality Assurance Testchip,10.1088/1748-0221/17/11/C11002,3.0,,,
90,ATLAS ITk strip sensor quality control procedures and testing site qualification,10.1088/1748-0221/17/12/C12013,7.0,,,
91,Setups for eliminating static charge of the ATLAS18 strip sensors,10.1088/1748-0221/19/02/C02001,3.0,,,
92,3D architectured air sensing tubes for a portable mechanical ventilator,10.1088/2058-8585/ac1fd6,5.0,,,
93,A novel compact xerographic system for 3D printing of fluoropolymer powders onto metal surfaces,10.1088/2058-8585/ad7e36,0.0,,,
94,Characterizing the topology of kinetoplast DNA using random knotting,10.1090/conm/746/15000,0.0,,,
95,Prevalence and Recent Trends in Exposure to Night Shiftwork in Canada,10.1093/annweh/wxaa001,30.0,,,
96,Calling the Police: Dispatchers as Important Interpreters and Manufacturers of Calls for Service Data,10.1093/police/paaa040,36.0,,,
97,What Drives Successful Economic Diversification in Resource-Rich Countries?,10.1093/wbro/lkaa001,82.0,,,
98,Reflections on the Impending Lawsuits by Governments against Pharmaceutical Opioid Producers in Canada,10.1097/CXA.0000000000000088,1.0,,,
99,Metatarsalgia: Clinical Profile and Comfort from Foot Orthoses Treatment,10.1097/JPO.0000000000000512,1.0,,,
100,Antiferromagnetic coupling across nonmagnetic transition-metal films alloyed with ferromagnetic elements,10.1103/PhysRevApplied.22.024058,2.0,,,
101,Compositional ordering in relaxor ferroelectric Pb(BB′) O3: Nearest neighbor approach,10.1103/PhysRevB.103.054201,7.0,,,
102,Energy landscape of noncollinear exchange coupled magnetic multilayers,10.1103/PhysRevB.109.224421,2.0,,,
103,Giant anomalous Hall effect in epitaxial Mn3.2Ge films with a cubic kagome structure,10.1103/PhysRevB.110.064401,1.0,,,
104,Transition from ferromagnetic to noncollinear to paramagnetic state with increasing Ru concentration in FeRu films,10.1103/PhysRevB.110.104429,0.0,,,
105,"Comment on ""anisotropic Scattering Caused by Apical Oxygen Vacancies in Thin Films of Overdoped High-Temperature Cuprate Superconductors""",10.1103/PhysRevLett.131.049701,3.0,,,
106,Physics-based approach to developing physical reservoir computers,10.1103/PhysRevResearch.6.033055,4.0,,,
107,"Performance implications of misalignment among business strategy, leadership style, organizational culture and management accounting systems",10.1108/IJOES-02-2021-0033,12.0,,,
108,Improving the performance of MMPP/M/C queue by convex optimization - A real-world application in iron and steel industry,10.1109/ACCESS.2020.3030325,4.0,,,
109,Residual Power Transfer Capability Analysis of an MMC-SST under Submodule IGBT Open-Circuit Fault,10.1109/ECCE47101.2021.9595256,2.0,,,
110,Deep-Subthreshold Ambipolar Printed-CNT TFTs Toward Sustainable Ultra-Low-Power Edge Computing,10.1109/EDTM53872.2022.9797966,1.0,,,
111,Near Field Measurement: Characterizing System SNR against Frequency,10.1109/EMTS57498.2023.10925226,0.0,,,
112,The Effect of a Finite Circular Groundplane on Monopole Impedance,10.1109/EMTS57498.2023.10925248,2.0,,,
113,Investigation of Flexible PCB-Based Ring Array of Slots Using Phase-Mode Analysis,10.1109/EMTS57498.2023.10925301,0.0,,,
114,A 3D Printed Wearable Electromyography Wristband,10.1109/FLEPS57599.2023.10220223,1.0,,,
115,A 3D Printed Architecture Sensor for Structural Health Monitoring,10.1109/FLEPS57599.2023.10220417,0.0,,,
116,The Textile is the Substrate: Challenges of Direct-on-Fabric Wearables,10.1109/IFETC57334.2023.10254902,3.0,,,
117,Speed and Scalability of Ambipolar Deep-Subthreshold TFTs for Ultralow-Power Printed Electronics,10.1109/JFLEX.2023.3237991,3.0,,,
118,Guest Editorial Special Issue on Self-Powered Sensors and Wearable Electronic Systems,10.1109/JFLEX.2024.3408001,0.0,,,
119,Guest Editorial for Special Issue on Papers From 2023 IEEE International Conference on Flexible Printable Sensors and Systems (FLEPS),10.1109/JFLEX.2024.3426128,0.0,,,
120,A 3-D-Printed Portable EMG Wristband for the Quantitative Detection of Finger Motion,10.1109/JSEN.2023.3247695,11.0,,,
121,A 3-D Printed Portable Neuromorphic System,10.1109/LSENS.2022.3146353,1.0,,,
122,Modified Beam Structures for Improved Resonant Sensing,10.1109/MEMS49605.2023.10052235,2.0,,,
123,Individual Nanoflakes of Two Dimensional Materials Harmonic Generation with Ultralow Pump Power,10.1109/NMDC50713.2021.9677477,0.0,,,
124,OSTE+ Polymer Composite with Rare Earth Hard Magnetic Particles for Flexible Reaction Injection-Moldable Microfluidic Actuators,10.1109/NMDC50713.2021.9677489,2.0,,,
125,Simulation of optical and mechanical performance of ultrathin sinusoidal c-Si films for highly flexible photovoltaic applications,10.1109/PVSC43889.2021.9518957,0.0,,,
126,Demonstration of a Nonlinear Angular Rate Sensor based on Internal Resonance,10.1109/SAS48726.2020.9220040,4.0,,,
127,A MEMS Gravimeter with Buckling-Beam Nonlinear Springs for Enhanced Sensitivity and Dynamic Range,10.1109/SENSORS60989.2024.10784982,3.0,,,
128,Reliable Circuit Design Using a Fast Incremental-Based Gate Sizing Under Process Variation,10.1109/TDMR.2022.3175914,8.0,,,
129,Evolving Absorptive Capacity: The Mediating Role of Systematic Knowledge Management,10.1109/TEM.2019.2893133,68.0,,,
130,3D Print-Scan Resilient Localized Mesh Watermarking,10.1109/WIFS53200.2021.9648379,6.0,,,
131,Awareness of fentanyl exposure and the associated overdose risks among people who inject drugs in a Canadian setting,10.1111/dar.13261,14.0,,,
132,"A new quantitative drug checking technology for harm reduction: Pilot study in Vancouver, Canada using paper spray mass spectrometry",10.1111/dar.13370,62.0,,,
133,Corporate interests within transnational advocacy networks: The International Coalition Against Plain Packaging,10.1111/glob.12235,2.0,,,
134,"Structure and properties of Bi(Zn½Ti½)O3-modified Pb(Zr,Ti)O3 piezo-/ferroelectric ceramics around the ternary morphotropic phase boundary",10.1111/jace.18114,11.0,,,
135,"Synthesis, structural evolution, and dielectric properties of a new perovskite solid solution (Pb0.5Sr0.5)(Zr0.5Ti0.5)O3–PbTiO3",10.1111/jace.18449,2.0,,,
136,The Double-Edged Sword of Error Sharing in Organizations: From A Self-Disclosure Perspective,10.1111/joms.13003,6.0,,,
137,"The “Inherent Vices” of Policy Design: Uncertainty, Maliciousness, and Noncompliance",10.1111/risa.13834,23.0,,,
138,The role of anodization in naturally cooled heat sinks for power electronic devices,10.1115/1.4046309,6.0,,,
139,Modeling axisymmetric centrifugal compressor characteristics from first principles,10.1115/1.4047616,12.0,,,
140,Experimental and computational analysis of additive manufactured augmented backside liner cooling surfaces for use in micro-gas turbines,10.1115/1.4050363,5.0,,,
141,REVIEW OF TRANSFER LEARNING IN ADDITIVE MANUFACTURING MODELING,10.1115/DETC2022-89300,1.0,,,
142,ITERATIVE UNCERTAINTY CALIBRATION FOR MODELING METAL ADDITIVE MANUFACTURING PROCESSES USING STATISTICAL MOMENT-BASED METRIC,10.1115/DETC2022-89511,0.0,,,
143,DEFINING AND MODELING OF HEIGHT-RELATED GEOMETRICAL PARAMETERS FOR THIN WALL STRUCTURES MANUFACTURED BY METAL ADDITIVE MANUFACTURING,10.1115/DETC2023-114987,0.0,,,
144,LAYER-TO-LAYER THERMAL HISTORY PREDICTION FOR THIN WALLS IN METAL ADDITIVE MANUFACTURING,10.1115/DETC2023-114997,0.0,,,
145,LOW-COST MELT POOL TEMPERATURE PREDICTION USING VISIBLE LIGHT CAMERA AND MACHINE LEARNING IN LASER HOT-WIRE DIRECTED ENERGY DEPOSITION,10.1115/DETC2024-142944,1.0,,,
146,Experimental and computational analysis of additive manufactured augmented backside liner cooling surfaces for use in micro gas turbines,10.1115/GT2020-14960,2.0,,,
147,"DESIGN, ANALYSIS, AND TESTING OF AN ADDITIVELY MANUFACTURED CATALYTIC COMBUSTOR FOR A MICRO-WAVE ROTOR TURBINE",10.1115/GT2024-125961,0.0,,,
148,NATURALLY-COOLED HEAT SINKS for NEXT-GENERATION BATTERY CHARGERS,10.1115/IPACK2022-98077,0.0,,,
149,"Interlayer Exchange Coupling, Spin Pumping and Spin Transport in Metallic Magnetic Single and Bilayer Structures",10.1134/S1063776120070080,5.0,,,
150,Opioid agonist treatment and risk of mortality during opioid overdose public health emergency: Population based retrospective cohort study,10.1136/bmj.m772,170.0,,,
151,A THREE-DIMENSIONAL MODEL OF SKELETAL MUSCLE TISSUES,10.1137/22M1506985,3.0,,,
152,FabriClick: Interweaving pushbuttons into fabrics using 3d printing and digital embroidery,10.1145/3357236.3395569,61.0,,,
153,VDAC: Volume Decompose-and-Carve for Subtractive Manufacturing,10.1145/3414685.3417772,22.0,,,
154,WooDowel: Enhancing Triboelectric Plywood Sensors with Electromagnetic Shielding,10.1145/3613904.3642304,0.0,,,
155,Tagnoo: Enabling Room-Scale Smart Environments with RFID-Augmented Plywood,10.1145/3613904.3642356,0.0,,,
156,Intercorporeal Design: Dissolving Self-Other Dualism in Interaction Design,10.1145/3686169.3686206,1.0,,,
157,Making Space for Poems: An Invitation to More-than-Human Design,10.1145/3686169.3686208,0.0,,,
158,Caring through: Engaging with the temporality of care in more-than-human design,10.1145/3686169.3686211,9.0,,,
159,Remembering the Work of Phillip L. Geissler: A Coda to His Scientific Trajectory,10.1146/annurev-physchem-101422-030127,0.0,,,
160,Improved Decal Transfer Method to Reduce Membrane Damage from Foreign Particles in Membrane Electrode Assembly,10.1149/1945-7111/ad0dc3,10.0,,,
161,Impacts of Catalyst Ink Composition and Wet Film Thickness on Fuel Cell Catalyst Layers Fabricated by Direct Film Coating Method,10.1149/1945-7111/ad4c11,4.0,,,
162,Plastic Waste Mitigation Strategies: A Review of Lessons from Developing Countries,10.1177/0169796X221104855,44.0,,,
163,Mitigating Tannery Pollution in Sub-Saharan Africa and South Asia,10.1177/0169796X221104856,13.0,,,
164,Sustainable Manufacturing and Environmental Pollution Programme (SMEP): A Circular Economy Experiment in the Global South,10.1177/0169796X221106013,7.0,,,
165,Shifting to Circular Manufacturing in the Global South: Challenges and Pathways,10.1177/0169796X221107217,4.0,,,
166,Reducing Manufacturing and Environmental Pollution in the Global South: Lessons from the SMEP Program,10.1177/0169796X221107954,1.0,,,
167,3D mesh steganography and steganalysis: review and prospect; 3D网格隐写与隐写分析回顾与展望,10.11834/jig.210371,6.0,,,
168,Cost-effectiveness of brentuximab vedotin in advanced stage Hodgkin’s lymphoma: a probabilistic analysis,10.1186/s12885-020-07374-3,9.0,,,
169,Beyond a spec: assessing heterogeneity in the unregulated opioid supply,10.1186/s12954-024-00980-5,5.0,,,
170,"Production, purification, and radiolabeling of the 203Pb/212Pb theranostic pair",10.1186/s41181-021-00121-4,79.0,,,
171,Validation and assessment of a mathematical model for centrifugal compressor surge,10.1201/9781003429746-6,0.0,,,
172,Three-dimensional numerical simulation of hydraulic fracture spatial steering; 水力压裂裂缝空间转向特征三维数值模拟研究,10.13532/j.jmsce.cn10-1638/td.2023.03.004,8.0,,,
173,Maximum-likelihood parameter estimation in terahertz time-domain spectroscopy,10.1364/OE.417724,21.0,,,
174,CCTV in Africa: Constructive approach to manufacturing consent,10.1386/jams_00018_1,8.0,,,
175,Dealer: An end-to-end model marketplace with differential privacy,10.14778/3447689.3447700,71.0,,,
176,"Policy volatility and the propensity of policies to fail: dealing with uncertainty, maliciousness and compliance in public policy-making",10.1504/ijpp.2022.127431,4.0,,,
177,Production and supply of a-particle-emitting radionuclides for targeted a-therapy,10.2967/jnumed.120.261016,104.0,,,
178,On the Role of Import Intermediaries in Canada,10.3138/cpp.2022-079,1.0,,,
179,Specific Protein Antigen Delivery to Human Langerhans Cells in Intact Skin,10.3389/fimmu.2021.732298,16.0,,,
180,CLIC-01: Manufacture and distribution of non-cryopreserved CAR-T cells for patients with CD19 positive hematologic malignancies,10.3389/fimmu.2022.1074740,24.0,,,
181,Cytokine Activation Reveals Tissue-Imprinted Gene Profiles of Mesenchymal Stromal Cells,10.3389/fimmu.2022.917790,17.0,,,
182,Understanding the Impact of Machine Learning Models on the Performance of Different Flexible Strain Sensor Modalities,10.3389/fmats.2021.639823,15.0,,,
183,Integrating Product Stewardship into the Clothing and Textile Industry: Perspectives of New Zealand Stakeholders,10.3390/su15054250,20.0,,,
184,Biopharmaceutical Financialization and Public Funding of Medical Countermeasures (MCMs) in Canada During the COVID-19 Pandemic,10.34172/ijhpm.2023.6936,2.0,,,
185,Interrogating the private in public school outsourcing in Liberia,10.4324/9780429330025-6,4.0,,,
186,THE ROUTLEDGE HANDBOOK OF ECOMEDIA STUDIES,10.4324/9781003176497,6.0,,,
187,Relationships between Foreign Direct Investment and Trade Flows in a Transition Economy: The Case of Ukraine1,10.4324/9781003576846-7,0.0,,,
188,CONVOLUTIONAL SVM NETWORKS FOR DETECTION OF GANODERMA BONINENSE AT EARLY STAGE IN OIL PALM USING UAV AND MULTISPECTRAL PLEIADES IMAGES,10.5194/isprs-annals-X-4-W1-2022-25-2023,7.0,,,
189,Manufacturing rage: The Russian Internet Research Agency’s political astroturfing on social media,10.5210/FM.V25I9.10801,22.0,,,
190,The forgotten labour of craft: Exploitation and organizing in artisanal industries,10.52975/llt.2021v88.0005,1.0,,,
